pdf	median
0.0212964085	35.657955
0.0142233469	158.051611
0.0111921370	320.125297
0.0094155129	517.206885
0.0082203996	746.151104
0.0073495701	1004.694230
0.0066807312	1291.107093
0.0061474363	1604.011697
0.0057101271	1942.275284
0.0053436233	2304.944452
0.0050310532	2691.201758
0.0047606432	3100.335807
0.0045239012	3531.719859
0.0043145318	3984.796070
0.0041277590	4459.063579
0.0039598870	4954.069316
0.0038080066	5469.400769
0.0036697932	6004.680213
0.0035433648	6559.560035
0.0034271796	7133.718892
0.0033199614	7726.858539
0.0032206437	8338.701162
0.0031283277	8968.987136
0.0030422500	9617.473103
0.0029617576	10283.930341
0.0028862883	10968.143336
0.0028153553	11669.908564
0.0027485344	12389.033407
0.0026854545	13125.335214
0.0026257892	13878.640467
0.0025692501	14648.784047
0.0025155815	15435.608573
0.0024645555	16238.963822
0.0024159688	17058.706199
0.0023696388	17894.698267
0.0023254013	18746.808321
0.0022831082	19614.910000
0.0022426254	20498.881939
0.0022038315	21398.607452
0.0021666158	22313.974238
0.0021308774	23244.874115
0.0020965241	24191.202780
0.0020634717	25152.859583
0.0020316426	26129.747319
0.0020009655	27121.772044
0.0019713749	28128.842891
0.0019428101	29150.871917
0.0019152151	30187.773943
0.0018885381	31239.466421
0.0018627309	32305.869301
0.0018377488	33386.904911
0.0018135502	34482.497840
0.0017900964	35592.574839
0.0017673511	36717.064717
0.0017452805	37855.898248
0.0017238532	39009.008088
0.0017030394	40176.328693
0.0016828115	41357.796238
0.0016631434	42553.348548
0.0016440106	43762.925031
0.0016253901	44986.466614
0.0016072602	46223.915678
0.0015896004	47475.216007
0.0015723916	48740.312729
0.0015556154	50019.152269
0.0015392548	51311.682298
0.0015232933	52617.851687
0.0015077157	53937.610464
0.0014925073	55270.909773
0.0014776542	56617.701836
0.0014631433	57977.939912
0.0014489622	59351.578263
0.0014350990	60738.572123
0.0014215423	62138.877660
0.0014082815	63552.451951
0.0013953064	64979.252947
0.0013826072	66419.239452
0.0013701745	67872.371087
0.0013579996	69338.608274
0.0013460740	70817.912203
0.0013343896	72310.244814
0.0013229387	73815.568774
0.0013117139	75333.847451
0.0013007080	76865.044899
0.0012899144	78409.125835
0.0012793266	79966.055621
0.0012689383	81535.800244
0.0012587435	83118.326302
0.0012487367	84713.600983
0.0012389122	86321.592052
0.0012292648	87942.267834
0.0012197895	89575.597198
0.0012104814	91221.549545
0.0012013357	92880.094793
0.0011923481	94551.203361
0.0011835142	96234.846162
0.0011748298	97930.994583
0.0011662909	99639.620481
0.0011578937	101360.696164
0.0011496344	103094.194385
0.0011415094	104840.088328
0.0011335152	106598.351600
0.0011256486	108368.958219
0.0011179063	110151.882606
0.0011102852	111947.099573
0.0011027822	113754.584316
0.0010953946	115574.312406
0.0010881194	117406.259781
0.0010809539	119250.402733
0.0010738956	121106.717909
0.0010669418	122975.182294
0.0010600902	124855.773208
0.0010533383	126748.468299
0.0010466839	128653.245535
0.0010401247	130570.083197
0.0010336585	132498.959872
0.0010272834	134439.854447
0.0010209971	136392.746105
0.0010147978	138357.614313
0.0010086836	140334.438823
0.0010026526	142323.199660
0.0009967030	144323.877123
0.0009908330	146336.451773
0.0009850411	148360.904432
0.0009793254	150397.216176
0.0009736846	152445.368332
0.0009681169	154505.342471
0.0009626209	156577.120403
0.0009571951	158660.684174
0.0009518381	160756.016063
0.0009465485	162863.098572
0.0009413250	164981.914429
0.0009361663	167112.446578
0.0009310710	169254.678177
0.0009260380	171408.592596
0.0009210661	173574.173412
0.0009161540	175751.404401
0.0009113007	177940.269542
0.0009065049	180140.753008
0.0009017657	182352.839164
0.0008970820	184576.512565
0.0008924527	186811.757951
0.0008878768	189058.560243
0.0008833535	191316.904543
0.0008788816	193586.776128
0.0008744603	195868.160448
0.0008700886	198161.043125
0.0008657658	200465.409947
0.0008614909	202781.246866
0.0008572631	205108.539996
0.0008530815	207447.275613
0.0008489454	209797.440147
0.0008448539	212159.020182
0.0008408064	214532.002455
0.0008368020	216916.373852
0.0008328401	219312.121405
0.0008289199	221719.232292
0.0008250407	224137.693832
0.0008212019	226567.493484
0.0008174027	229008.618846
0.0008136426	231461.057652
0.0008099208	233924.797768
0.0008062369	236399.827194
0.0008025901	238886.134058
0.0007989798	241383.706615
0.0007954056	243892.533250
0.0007918668	246412.602467
0.0007883628	248943.902895
0.0007848932	251486.423283
0.0007814573	254040.152498
0.0007780547	256605.079526
0.0007746849	259181.193465
0.0007713473	261768.483528
0.0007680415	264366.939042
0.0007647670	266976.549442
0.0007615233	269597.304272
